,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #,bg_freq
197,s179,197,49,0,'c' 'o',co,0.2320583718828857,cooed,cooed,3,3609272
198,s179,198,49,1, 'o' 'o',oo,0.14388599805533886,cooed,cooed,3,1933683
199,s179,199,49,2, 'o' 'e',oe,0.07203203998506069,cooed,cooed,3,270012
200,s179,200,49,3, 'e' 'd',ed,0.24002106115221977,cooed,cooed,3,7805967
201,s179,201,50,0,'b' 'u',bu,0.24002239108085632,buddy,buddy,2,1183063
202,s179,202,50,1, 'u' 'd',ud,0.23202324006706476,buddy,buddy,2,458716
203,s179,203,50,2, 'd' 'd',dd,0.15194250782951713,buddy,buddy,2,306083
204,s179,204,50,3, 'd' 'y',dy,0.09594473987817764,buddy,buddy,2,360103
205,s179,205,51,0,'p' 'u',pu,0.13599102711305022,puppy,puppy,3,514720
206,s179,206,51,1, 'u' 'p',up,0.2559616230428219,puppy,puppy,3,968744
207,s179,207,51,2, 'p' 'p',pp,0.14398415060713887,puppy,puppy,3,805170
208,s179,208,51,3, 'p' 'y',py,0.1280051344074309,puppy,puppy,3,149099
209,s179,209,52,0,'c' 'h',ch,0.06392372259870172,champ,champ,3,3267507
210,s179,210,52,1, 'h' 'a',ha,0.12004875624552369,champ,champ,3,6967591
211,s179,211,52,2, 'a' 'm',am,0.13604157092049718,champ,champ,3,1610395
212,s179,212,52,3, 'm' 'p',mp,0.0719601009041071,champ,champ,3,1042198
213,s179,213,53,0,'z' 'o',vo,0.2561445767059922,vodka,zodka,2,368238
214,s179,214,53,1, 'o' 'd',od,0.19999403227120638,vodka,zodka,2,1013147
215,s179,215,53,2, 'd' 'k',dk,0.25586703792214394,vodka,zodka,2,5347
216,s179,216,53,3, 'k' 'a',ka,0.11208430211991072,vodka,zodka,2,60568
217,s179,217,54,0,'l' 'u',lu,0.14394920179620385,lucky,lucky,0,568081
218,s179,218,54,1, 'u' 'c',uc,0.4400744321756065,lucky,lucky,0,891233
219,s179,219,54,2, 'c' 'k',ck,0.04001502273604274,lucky,lucky,0,925655
220,s179,220,54,3, 'k' 'y',ky,0.6478778212331235,lucky,lucky,0,49764
221,s179,221,55,0,'h' 'a',ha,0.11200794205069542,haole,haole,2,6967591
222,s179,222,55,1, 'a' 'o',ao,0.10405799793079495,haole,haole,2,25487
223,s179,223,55,2, 'o' 'l',ol,0.2080643391236663,haole,haole,2,1804856
224,s179,224,55,3, 'l' 'e',le,0.11998785007745028,haole,haole,2,5038239
225,s179,225,56,0,'p' 'y',py,0.13606823096051812,pykka,pykka,3,149099
226,s179,226,56,1, 'y' 'k',yk,0.32791151525452733,pykka,pykka,3,4767
227,s179,227,56,2, 'k' 'k',kk,0.1440817709080875,pykka,pykka,3,1820
228,s179,228,56,3, 'k' 'a',ka,0.1359676020219922,pykka,pykka,3,60568
229,s179,229,57,0,'h' 'a',ha,0.1359230219386518,haole,haole,3,6967591
230,s179,230,57,1, 'a' 'o',ao,0.10407446511089802,haole,haole,3,25487
