,sID,Trial #,string,bi_1,bi_2,bi_3,bi_4,key_resp.keys.1,key_resp.keys.2,key_resp.keys.3,key_resp.keys.4,key_resp.keys.5,key_resp.keys.6,key_resp.rt.1,key_resp.rt.2,key_resp.rt.3,key_resp.rt.4,key_resp.rt.5,key_resp.rt.6,resp_string,WF Type,BF Type
29,s278,29,therm,th,he,er,rm,t,h,e,m,,,0.6280863999854773,0.7239353999029845,0.8120410998817533,0.9720383000094444,0.0,0.0,them,lowwf,
30,s278,30,think,th,hi,in,nk,t,h,i,n,k,,0.6399997998960316,0.7519444997888058,0.8479570997878909,1.032006099820137,1.1120186999905854,0.0,think,highwf,
31,s278,31,kremp,kr,re,em,mp,k,r,e,m,p,,0.7479483000934124,0.8999147999566048,0.9640283999033272,1.0358845998998731,1.2200454999692738,0.0,kremp,pseudo,
32,s278,32,champ,ch,ha,am,mp,c,h,a,m,o,p,0.6879557000938803,0.7920842999592423,0.8080295000690967,1.05589530011639,1.5359037001617253,2.487942500039935,chamop,medwf,
33,s278,33,there,th,he,er,re,t,h,e,r,e,,0.6198998999316245,0.7879985000472516,0.9318806000519544,1.0198806999251246,1.139923800015822,0.0,there,highwf,
34,s278,34,lucky,lu,uc,ck,ky,l,u,c,k,y,,1.2636901999358088,1.487674199976027,1.5598967999685556,1.687701900023967,1.8396815999876708,0.0,lucky,highwf,
35,s278,35,faqir,fa,aq,qi,ir,f,a,q,i,r,,0.915981899946928,1.4600103998091072,2.363846799824387,2.5719522999133915,2.6358005998190492,0.0,faqir,lowwf,
36,s278,36,vanru,va,an,nr,ru,v,a,n,r,u,,0.9118466000072658,0.9919453000184149,1.1201174999587238,1.2398109000641853,1.3918641998898238,0.0,vanru,pseudo,
37,s278,37,faqir,fa,aq,qi,ir,f,a,w,i,r,,0.9797841000836343,1.2357111000455916,1.58773160004057,1.900023499969393,2.027852199971676,0.0,fawir,lowwf,
38,s278,38,tithe,ti,it,th,he,t,i,t,h,e,,1.2237714000511914,1.3677747999317944,1.5039125001057982,1.6717987000010908,1.7756904000416398,0.0,tithe,lowwf,
39,s278,39,edthe,ed,dt,th,he,e,d,t,h,e,,1.7158316001296043,1.779819600051269,2.0437469999305904,2.13190110004507,2.219707600073889,0.0,edthe,pseudo,
40,s278,40,haole,ha,ao,ol,le,h,a,o,l,e,,0.9117371998727322,1.0318400000687689,1.4237080998718739,1.6078291998710483,1.6638285999651998,0.0,haole,lowwf,
41,s278,41,puppy,pu,up,pp,py,o,u,u,o,y,,0.9798812000080943,1.1636942001059651,1.8677282000426203,2.1557720000855625,2.419684699969366,0.0,ouuoy,medwf,
42,s278,42,belly,be,el,ll,ly,b,e,l,l,y,,0.8876591001171619,0.9996829000301659,1.7836738000623882,1.95964469993487,2.031631800113246,0.0,belly,medwf,
43,s278,43,druze,dr,ru,uz,ze,d,r,u,z,e,,1.3716829000040889,1.5636421998497099,1.7317492999136448,2.035640300018713,2.2197430999949574,0.0,druze,lowwf,
44,s278,44,haole,ha,ao,ol,le,h,a,o,l,e,,0.9596293000504375,1.0397376001346856,1.207642300054431,1.4235943001694977,1.4875794001854956,0.0,haole,lowwf,
45,s278,45,champ,ch,ha,am,mp,c,h,a,m,p,,1.0997695000842214,1.2115511000156403,1.2997447000816464,1.4355796999298036,2.4276318999473006,0.0,champ,medwf,
46,s278,46,theme,th,he,em,me,t,h,e,m,e,,0.6956140000838786,0.8074877001345158,0.935445100069046,1.0554567000363022,1.1754521999973804,0.0,theme,medwf,
47,s278,47,there,th,he,er,re,t,h,e,r,e,,0.6755404998548329,0.7796543999575078,0.9315329000819474,1.0116329998709261,1.1315343999303877,0.0,there,highwf,
48,s278,48,pykka,py,yk,kk,ka,o,y,k,k,a,,1.2715404001064599,1.5995368999429047,2.0156012000516057,2.1516003001015633,2.2316384001169354,0.0,oykka,pseudo,
49,s278,49,champ,ch,ha,am,mp,c,h,a,m,p,,0.9394787000492215,1.0354303000494838,1.1315532000735402,1.2840364000294358,1.53948469995521,0.0,champ,medwf,
50,s278,50,vanru,va,an,nr,ru,v,a,n,r,u,,1.015552300028503,1.0874499999918044,1.2074372000060976,1.3116746000014246,1.4395657998975366,0.0,vanru,pseudo,
51,s278,51,pykka,py,yk,kk,ka,p,y,k,k,a,,1.6355614000931382,1.9954471001401544,2.363466300070286,2.4835514000151306,2.571586800040677,0.0,pykka,pseudo,
52,s278,52,druze,dr,ru,uz,ze,d,r,u,z,e,,1.1113803999032825,1.287481299834326,1.8873794998507947,2.087489199824631,2.287354900036007,0.0,druze,lowwf,
53,s278,53,theme,th,he,em,me,t,h,e,m,e,,0.6754267001524568,0.803331500152126,0.9073523001279682,1.0514360000379384,1.1475973001215607,0.0,theme,medwf,
54,s278,54,cheer,ch,he,ee,er,c,h,e,e,r,,0.6073330000508577,0.7034760999958962,0.8312951999250799,0.9752611999865621,1.095259399851784,0.0,cheer,medwf,
55,s278,55,belly,be,el,ll,ly,b,e,l,l,y,,0.7475517999846488,0.8514383998699486,1.2992483000271022,1.4514224999584258,1.5474580998998135,0.0,belly,medwf,
56,s278,56,puppy,pu,up,pp,py,p,u,u,p,p,y,1.055271300021559,1.3272409001365304,1.487362600164488,2.151267600012943,2.495336400112137,2.647303899982944,puuppy,medwf,
57,s278,57,tithe,ti,it,th,he,t,i,t,h,e,,0.8192894000094384,1.0992198002059013,1.2751821000128984,1.4032020000740886,1.4832859002053738,0.0,tithe,lowwf,
58,s278,58,theme,th,he,em,me,t,h,e,m,e,,0.7744800001382828,0.9106386001221836,1.0625182001385838,1.2144274001475424,1.2944446001201868,0.0,theme,medwf,
59,s278,59,would,wo,ou,ul,ld,w,o,u,l,d,,0.6911658998578787,0.8592461999505758,0.9471912998706102,1.4672566999215633,1.6272539999336004,0.0,would,highwf,
60,s278,60,cheer,ch,he,ee,er,c,h,e,e,r,,0.5910880002193153,0.7030888001900166,0.8149854000657797,0.9591685000341386,1.0791302002035081,0.0,cheer,medwf,
61,s278,61,druze,dr,ru,uz,ze,d,r,u,z,e,,0.9711591999512166,1.1391205000691116,1.3871738999150693,1.7792968000285327,1.955082500120625,0.0,druze,lowwf,
62,s278,62,therm,th,he,er,rm,t,h,e,r,m,space,0.6711067000869662,0.8150404000189155,0.9111878999974579,0.9675894000101835,1.0550321999471635,1.2072340999729931,thermspace,lowwf,
63,s278,63,puppy,pu,up,pp,py,p,u,p,p,y,,1.5390790000092238,1.8190488000400364,2.0510499000083655,2.2350441000889987,2.434992300113663,0.0,puppy,medwf,
64,s278,64,cooed,co,oo,oe,ed,c,o,o,e,d,,0.8070507999509573,0.9510416998527944,1.0871127999853343,1.199126899940893,1.3670448998454958,0.0,cooed,lowwf,
65,s278,65,vodka,vo,od,dk,ka,v,o,d,k,a,,0.923008400015533,1.130998299922794,1.9230173998512328,2.0429805999156088,2.091220999835059,0.0,vodka,medwf,
66,s278,66,about,ab,bo,ou,ut,a,b,o,u,t,,0.6390259000472724,0.7350697999354452,0.974909899989143,1.0949323999229819,1.2230749998707324,0.0,about,highwf,
67,s278,67,zibja,zi,ib,bj,ja,z,i,b,j,a,,1.2269490000326186,1.4109059998299927,1.6349130999296904,2.0029010998550802,2.090907800011337,0.0,zibja,pseudo,
68,s278,68,cheer,ch,he,ee,er,c,h,e,e,r,,1.190916399937123,1.2709701000712812,1.4068837999366224,1.5748407999053597,1.6548436000011861,0.0,cheer,medwf,
69,s278,69,buddy,bu,ud,dd,dy,b,u,d,d,y,,0.7791836000978947,0.9230053001083434,1.0429257000796497,1.1788745999801904,1.323015500092879,0.0,buddy,highwf,
70,s278,70,lucky,lu,uc,ck,ky,l,u,c,k,y,,0.7670470001176,0.9589842001441866,1.0548194001894444,1.1748657000716776,1.3588626000564545,0.0,lucky,highwf,
71,s278,71,belly,be,el,ll,ly,b,e,l,l,y,,0.6908241999335587,0.8027745999861509,1.6588186998851597,1.8188225999474525,1.9147324999794364,0.0,belly,medwf,
72,s278,72,zibja,zi,ib,bj,ja,z,i,b,j,a,,1.0307905001100153,1.1510650999844074,1.326880499953404,1.4867448001168668,1.5670298000331968,0.0,zibja,pseudo,
73,s278,73,buddy,bu,ud,dd,dy,b,u,d,d,y,,0.8907375000417233,1.0107064000330865,1.1307092001661658,1.2828736000228673,1.378713299985975,0.0,buddy,highwf,
74,s278,74,think,th,hi,in,nk,t,h,i,n,k,,0.6867656998801976,0.8146776999346912,0.8708550999872386,1.086733999894932,1.1828624999616295,0.0,think,highwf,
75,s278,75,heond,he,eo,on,nd,h,e,o,n,d,,0.7949600999709219,0.9068107998464257,1.0106787998229265,1.1629585998598486,1.2507483998779207,0.0,heond,pseudo,
76,s278,76,buddy,bu,ud,dd,dy,b,u,d,d,y,,0.7107263000216335,0.8546315000858158,0.9906582999974489,1.1266650999896228,1.246726900106296,0.0,buddy,highwf,
77,s278,77,champ,ch,ha,am,mp,c,h,a,m,,,0.6266659998800606,0.7388358998578042,0.8587697998154908,1.0027524998877198,0.0,0.0,cham,medwf,
