,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #
127,s83,127,31,1, 'i' 'u',it,0.0,tithe,tiuthe,2
128,s83,128,31,2, 'u' 't',th,0.872051761019975,tithe,tiuthe,2
129,s83,129,31,3, 't' 'h',he,0.08790548890829086,tithe,tiuthe,2
130,s83,130,31,4, 'h' 'e',,0.11209376435726881,tithe,tiuthe,2
131,s83,131,32,0,'c' 'o',co,0.26408386370167136,cooed,cooed,1
132,s83,132,32,1, 'o' 'o',oo,0.1679088743403554,cooed,cooed,1
133,s83,133,32,2, 'o' 'e',oe,0.0719450619071722,cooed,cooed,1
134,s83,134,32,3, 'e' 'd',ed,0.1200656658038497,cooed,cooed,1
135,s83,135,33,0,'c' 'h',ch,0.18407283537089825,cheer,cheer,0
136,s83,136,33,1, 'h' 'e',he,0.15997397899627686,cheer,cheer,0
137,s83,137,33,2, 'e' 'e',ee,0.14399917097762227,cheer,cheer,0
138,s83,138,33,3, 'e' 'r',er,0.13602281780913472,cheer,cheer,0
139,s83,139,34,0,'e' 'd',ed,0.15184147516265512,edthe,edthe,1
140,s83,140,34,1, 'd' 't',dt,0.2160181039944291,edthe,edthe,1
141,s83,141,34,2, 't' 'h',th,0.11211491795256734,edthe,edthe,1
142,s83,142,34,3, 'h' 'e',he,0.11187453800812364,edthe,edthe,1
143,s83,143,35,0,'z' 'i',zi,0.23207726329565048,zibja,zibja,2
144,s83,144,35,1, 'i' 'b',ib,0.32796950777992606,zibja,zibja,2
145,s83,145,35,2, 'b' 'j',bj,0.7039799769409001,zibja,zibja,2
146,s83,146,35,3, 'j' 'a',ja,0.3360384199768305,zibja,zibja,2
147,s83,147,36,0,'h' 'a',ha,0.11995363794267178,haole,haole,2
148,s83,148,36,1, 'a' 'o',ao,0.2640567668713629,haole,haole,2
149,s83,149,36,2, 'o' 'l',ol,0.2078998819924891,haole,haole,2
150,s83,150,36,3, 'l' 'e',le,0.12809362495318055,haole,haole,2
151,s83,151,37,0,'c' 'h',ch,0.168108148034662,cheer,cheer,1
152,s83,152,37,1, 'h' 'e',he,0.17598105501383543,cheer,cheer,1
153,s83,153,37,2, 'e' 'e',ee,0.14404351776465774,cheer,cheer,1
154,s83,154,37,3, 'e' 'r',er,0.1519306469708681,cheer,cheer,1
155,s83,155,38,0,'w' 'o',wo,0.23996015219017863,would,would,0
156,s83,156,38,1, 'o' 'u',ou,0.12791075417771935,would,would,0
