,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #,bg_freq,bf_type,meanbf_type,wf_type
204,s282,204,51,1, 'r' 'u',ru,0.2001785000320524,druze,druze,1,705492,med,low,low
205,s282,205,51,2, 'u' 'z',uz,0.19185209996066988,druze,druze,1,19836,low,low,low
206,s282,206,51,3, 'z' 'e',ze,0.34394280007109046,druze,druze,1,210896,low,low,low
207,s282,207,52,0,'t' 'h',th,0.17614399990998209,theme,theme,1,22288309,high,high,med
208,s282,208,52,1, 'h' 'e',he,0.15993850002996624,theme,theme,1,21484684,high,high,med
209,s282,209,52,2, 'e' 'm',em,0.18398990016430616,theme,theme,1,2039661,med,high,med
210,s282,210,52,3, 'm' 'e',me,0.15184639999642968,theme,theme,1,4724108,high,high,med
211,s282,211,53,0,'b' 'u',bu,0.30401599989272654,buddy,buddy,2,1183063,med,low,high
212,s282,212,53,1, 'u' 'd',ud,0.19200940011069179,buddy,buddy,2,458716,low,low,high
213,s282,213,53,2, 'd' 'd',dd,0.5762107998598367,buddy,buddy,2,306083,low,low,high
214,s282,214,53,3, 'd' 'y',dy,0.23978860001079738,buddy,buddy,2,360103,low,low,high
215,s282,215,54,0,'z' 'i',zi,0.20809209998697042,zibja,zibja,1,54565,low,low,pseudo
216,s282,216,54,1, 'i' 'b',ib,0.40787629992701113,zibja,zibja,1,493267,low,low,pseudo
217,s282,217,54,2, 'b' 'j',bj,0.5120896000880748,zibja,zibja,1,105433,low,low,pseudo
218,s282,218,54,3, 'j' 'a',ja,0.16785149998031557,zibja,zibja,1,40073,low,low,pseudo
219,s282,219,55,0,'h' 'a',ha,0.30397459981031716,haole,haole,1,6967591,high,med,low
220,s282,220,55,1, 'a' 'o',ao,0.7284627000335604,haole,haole,1,25487,low,med,low
221,s282,221,55,2, 'o' 'l',ol,0.30356799997389317,haole,haole,1,1804856,med,med,low
222,s282,222,55,3, 'l' 'e',le,0.15201449999585748,haole,haole,1,5038239,high,med,low
223,s282,223,56,0,'h' 'e',he,0.15207239985466003,heond,heond,2,21484684,high,high,pseudo
224,s282,224,56,1, 'e' 'o',eo,0.25603329995647073,heond,heond,2,305120,low,high,pseudo
225,s282,225,56,2, 'o' 'n',on,0.2798660001717508,heond,heond,2,8830487,high,high,pseudo
226,s282,226,56,3, 'n' 'd',nd,0.20797779993154109,heond,heond,2,9414961,high,high,pseudo
227,s282,227,57,0,'c' 'h',ch,0.24009749991819263,cheer,cheer,4,3267507,med,high,med
228,s282,228,57,1, 'h' 'e',he,0.35206670011393726,cheer,cheer,4,21484684,high,high,med
229,s282,229,57,2, 'e' 'e',ee,0.19979179999791086,cheer,cheer,4,2839722,med,high,med
230,s282,230,57,3, 'e' 'r',er,0.21599159995093942,cheer,cheer,4,12934901,high,high,med
231,s282,231,58,0,'k' 'r',kr,0.15196529985405505,kremp,kremp,2,5683,low,med,pseudo
232,s282,232,58,1, 'r' 'e',re,0.19195360015146434,kremp,kremp,2,10687711,high,med,pseudo
233,s282,233,58,2, 'e' 'm',em,0.11211529979482293,kremp,kremp,2,2039661,med,med,pseudo
234,s282,234,58,3, 'm' 'p',mp,0.48799600009806454,kremp,kremp,2,1042198,med,med,pseudo
235,s282,235,59,0,'h' 'a',ha,0.15195790003053844,haole,haole,2,6967591,high,med,low
236,s282,236,59,1, 'a' 'o',ao,0.608000700129196,haole,haole,2,25487,low,med,low
237,s282,237,59,2, 'o' 'l',ol,0.3041876000352204,haole,haole,2,1804856,med,med,low
238,s282,238,59,3, 'l' 'e',le,0.17594149988144636,haole,haole,2,5038239,high,med,low
239,s282,239,60,0,'t' 'h',th,0.10399909992702305,think,think,1,22288309,high,high,high
240,s282,240,60,1, 'h' 'i',hi,0.17600660002790391,think,think,1,6198006,high,high,high
241,s282,241,60,2, 'i' 'n',in,0.21608710009604692,think,think,1,13597302,high,high,high
242,s282,242,60,3, 'n' 'k',nk,0.1758943998720497,think,think,1,445067,low,high,high
243,s282,243,61,0,'v' 'o',vo,0.3278059000149369,vodka,vodka,1,368238,low,low,med
244,s282,244,61,1, 'o' 'd',od,0.5440188001375645,vodka,vodka,1,1013147,med,low,med
245,s282,245,61,2, 'd' 'k',dk,0.23214340000413358,vodka,vodka,1,5347,low,low,med
246,s282,246,61,3, 'k' 'a',ka,0.1598243999760598,vodka,vodka,1,60568,low,low,med
247,s282,247,62,0,'v' 'a',va,0.16000719997100532,vanru,vanru,3,560130,med,med,pseudo
248,s282,248,62,1, 'a' 'n',an,0.24013699986971915,vanru,vanru,3,12315713,high,med,pseudo
249,s282,249,62,2, 'n' 'r',nr,0.17591099999845028,vanru,vanru,3,54341,low,med,pseudo
250,s282,250,62,3, 'r' 'u',ru,0.2000691001303494,vanru,vanru,3,705492,med,med,pseudo
251,s282,251,63,0,'t' 'h',th,0.15201329998672009,theme,theme,2,22288309,high,high,med
252,s282,252,63,1, 'h' 'e',he,0.23998469999060035,theme,theme,2,21484684,high,high,med
253,s282,253,63,2, 'e' 'm',em,0.19200960011221468,theme,theme,2,2039661,med,high,med
254,s282,254,63,3, 'm' 'e',me,0.13600949989631772,theme,theme,2,4724108,high,high,med
